name;country;points;gender
Dimitrij_Ovtcharov;ALL;16545;male
Zhendong_Fan;CHN;16320;male
Timo_Boll;ALL;15165;male
Gaoyuan_Lin;CHN;13974;male
Xin_Xu;CHN;13810;male
Koki_Niwa;JPN;13155;male
Long_Ma;CHN;13040;male
Simon_Gauzy;FRA;12758;male
Kenta_Matsudaira;JPN;11835;male
Tomokazu_Harimoto;JPN;11760;male
Marcos_Freitas;POR;11489;male
Chih-Yuan_Chuang_Chinese;TAI;11340;male
Jun_Mizutani;JPN;11210;male
Hugo_Calderano;BRE;10819;male
Omar_Assar;EGY;10504;male
Yuya_Oshima;JPN;10398;male
Kristian_Karlsson;SUE;10149;male
Ruwen_Filus;ALL;9993;male
Maharu_Yoshimura;JPN;9824;male
Quadri_Aruna;NGR;9635;male
Masaki_Yoshida;JPN;9435;male
Emmanuel_Lebesson;FRA;9224;male
Chien-An_Chen_Chinese;TAI;9210;male
Lei_Kou;UKR;8928;male
Jin_Ueda;JPN;8745;male
Ricardo_Walther;ALL;8709;male
Jonathan_Groth;DAN;8687;male
Bo_Fang;CHN;8650;male
Vladimir_Samsonov;BLR;8619;male
Bastian_Steger;ALL;8548;male
Tiago_Apolonia;POR;8524;male
Paul_Drinkhall;ANG;8393;male
Mattias_Karlsson;SUE;8379;male
Patrick_Franziska;ALL;8268;male
Alvaro_Robles;ESP;8197;male
Cheng-Ting_Liao_Chinese;TAI;8007;male
Ning_Gao;SIN;7899;male
Kirill_Gerassimenko;KAZ;7876;male
Tristan_Flore;FRA;7735;male
Cédric_Nuytinck;BEL;7629;male
Stefan_Fegerl;AUT;7541;male
Masataka_Morizono;JPN;7398;male
Benedikt_Duda;ALL;7362;male
Sathiyan_Gnanasekaran;IND;7227;male
Robert_Gardos;AUT;7164;male
Sharath_Kamal_Achanta;IND;6992;male
Jike_Zhang;CHN;6916;male
Andrej_Gacina;CRO;6843;male
Joao_Monteiro;POR;6727;male
Anton_Kallberg;SUE;6703;male
Harmeet_Desai;IND;6634;male
Soumyajit_Ghosh;IND;6534;male
Sanil_Shetty;IND;6280;male
Joao_Geraldo;POR;6264;male
Gustavo_Tsuboi;BRE;6226;male
Ovidiu_Ionescu;ROU;6130;male
Yuto_Muramatsu;JPN;6125;male
Tomislav_Pucar;CRO;6093;male
Noshad_Alamiyan;IRA;6049;male
Jakub_Dyjas;POL;6008;male
Hunor_Szocs;ROU;5989;male
Daniel_Habesohn;AUT;5953;male
Yuto_Kizukuri;JPN;5920;male
Jon_Persson;SUE;5849;male
Quentin_Robinot;FRA;5805;male
Amalraj_Anthony_Arputharaj;IND;5776;male
Darko_Jorgic;SLO;5721;male
Jingkun_Liang;CHN;5640;male
Samuel_Walker;ANG;5636;male
Can_Akkuzu;FRA;5538;male
Abdel-Kader_Salifou;FRA;5494;male
Kazuhiro_Yoshimura;JPN;5426;male
Liam_Pitchford;ANG;5264;male
Sin_Hyok_Pak;CNO;5193;male
Kenta_Tazoe;JPN;5187;male
Chia-Hung_Sun_Chinese;TAI;5118;male
Benedek_Olah;FIN;5110;male
Panagiotis_Gionis;GRE;5090;male
Eric_Jouti;BRE;5006;male
Lubomir_Pistej;SVK;4966;male
Nima_Alamian;IRA;4831;male
Par_Gerell;SUE;4794;male
Bojan_Tokic;SLO;4689;male
Tamas_Lakatos;HON;4584;male
Florent_Lambiet;BEL;4535;male
Gustavo_Gomez;CHI;4469;male
An_Yan;CHN;4455;male
Tzu-Hsiang_Hung_Chinese;TAI;4412;male
Felipe_Olivares;CHI;4410;male
Yang_Wang;CHN;4386;male
Yuki_Matsuyama;JPN;4312;male
Romain_Lorentz;FRA;4279;male
Yun-Ju_Lin_Chinese;TAI;4243;male
Steffen_Mengel;ALL;4168;male
Mohamed_El-Beiali;EGY;4155;male
David_Powell;AUS;4128;male
Gavin_Rumgay;ECO;4067;male
Marcos_Madrid;MEX;4057;male
Horacio_Cifuentes;ARG;4002;male
Heng-Wei_Yang_Chinese;TAI;3973;male
Asuka_Sakai;JPN;3972;male
Robin_Devos;BEL;3935;male
Andreas_Levenko;AUT;3867;male
Zengyi_Wang;POL;3810;male
Aliaksandr_Khanin;BLR;3790;male
Daniel_Gorak;POL;3780;male
Mizuki_Oikawa;JPN;3771;male
Il_Choe;CNO;3679;male
Kenta_Matsudaira;JPN;3657;male
Alexandre_Robinot;FRA;3656;male
Thiago_Monteiro;BRE;3641;male
Marcelo_Aguirre;PAR;3573;male
